season_stage,player,gp,g,a,tp,pim,pm,position,team,teamid,playerid,year,url,shortname,gpg,apg,ppg,perc_team_g,perc_team_a,perc_team_tp,league
EOJBHL,Théo Van Houtte,40.0,27.0,26.0,53.0,64.0,0.0,['C'],GAT,10381,582113,2006-2007,https://www.eliteprospects.com/player/582113/theo-van-houtte,theo-van-houtte,0.675,0.65,1.325,0.141,0.099,0.117,CCHL2
EOJBHL,Miguel Thauvette,37.0,15.0,29.0,44.0,78.0,0.0,['F'],GAT,10381,232221,2006-2007,https://www.eliteprospects.com/player/232221/miguel-thauvette,miguel-thauvette,0.405,0.784,1.189,0.084,0.12,0.105,CCHL2
EOJBHL,Patrick Lafleur,37.0,9.0,24.0,33.0,100.0,0.0,['D'],GAT,10381,208249,2006-2007,https://www.eliteprospects.com/player/208249/patrick-lafleur,patrick-lafleur,0.243,0.649,0.892,0.051,0.099,0.079,CCHL2
EOJBHL,Guillaume Levasseur,37.0,14.0,18.0,32.0,52.0,0.0,['D'],GAT,10381,265271,2006-2007,https://www.eliteprospects.com/player/265271/guillaume-levasseur,guillaume-levasseur,0.378,0.486,0.865,0.079,0.074,0.076,CCHL2
EOJBHL,Philippe Lalonde,39.0,12.0,9.0,21.0,52.0,0.0,['D'],GAT,10381,208247,2006-2007,https://www.eliteprospects.com/player/208247/philippe-lalonde,philippe-lalonde,0.308,0.231,0.538,0.064,0.035,0.047,CCHL2
EOJBHL,Francis Mayrand,8.0,6.0,5.0,11.0,20.0,0.0,['RW'],GAT,10381,51721,2006-2007,https://www.eliteprospects.com/player/51721/francis-mayrand,francis-mayrand,0.75,0.625,1.375,0.156,0.095,0.121,CCHL2
EOJBHL,Simon Bisson,7.0,4.0,5.0,9.0,2.0,0.0,['F'],GAT,10381,232401,2006-2007,https://www.eliteprospects.com/player/232401/simon-bisson,simon-bisson,0.571,0.714,1.286,0.119,0.109,0.113,CCHL2
EOJBHL,Kevin Treau De Coeli,22.0,4.0,5.0,9.0,118.0,0.0,['LW'],GAT,10381,162736,2006-2007,https://www.eliteprospects.com/player/162736/kevin-treau-de-coeli,kevin-treau-de-coeli,0.182,0.227,0.409,0.038,0.035,0.036,CCHL2
EOJBHL,Mikael Bessette-Morin,12.0,3.0,6.0,9.0,10.0,0.0,['D'],GAT,10381,315688,2006-2007,https://www.eliteprospects.com/player/315688/mikael-bessette-morin,mikael-bessette-morin,0.25,0.5,0.75,0.052,0.076,0.066,CCHL2
EOJBHL,Francis Rochon,5.0,4.0,2.0,6.0,6.0,0.0,['C'],GAT,10381,97509,2006-2007,https://www.eliteprospects.com/player/97509/francis-rochon,francis-rochon,0.8,0.4,1.2,0.167,0.061,0.106,CCHL2
EOJBHL,Guillaume Saumure,5.0,3.0,2.0,5.0,0.0,0.0,['C'],GAT,10381,162763,2006-2007,https://www.eliteprospects.com/player/162763/guillaume-saumure,guillaume-saumure,0.6,0.4,1.0,0.125,0.061,0.088,CCHL2
EOJBHL,Patrick Leveillé,2.0,1.0,0.0,1.0,0.0,0.0,['LW'],GAT,10381,18817,2006-2007,https://www.eliteprospects.com/player/18817/patrick-leveille,patrick-leveille,0.5,0.0,0.5,0.104,0.0,0.044,CCHL2
EOJBHL,Bryan Vaughn,39.0,50.0,45.0,95.0,32.0,0.0,['F'],KEM,4349,627927,2006-2007,https://www.eliteprospects.com/player/627927/bryan-vaughn,bryan-vaughn,1.282,1.154,2.436,0.276,0.174,0.216,CCHL2
