team,teamid,season,shortname,league,url,gp,w,t,l,otw,otl,gf,ga,gd,tp
 Akwesasne Wolves,5684,2005-2006,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2005-2006,45,1,1.0,42,0.0,1,136,375,-239,4
 Alexandria Glens,6623,2005-2006,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2005-2006,45,30,3.0,11,0.0,1,248,163,85,64
 Arnprior Packers,6848,2005-2006,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2005-2006,40,5,2.0,33,0.0,0,110,226,-116,12
 Athens Aeros,3518,2005-2006,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2005-2006,42,7,2.0,32,0.0,1,164,308,-144,17
 Brockville Tikis,5683,2005-2006,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2005-2006,42,19,2.0,19,0.0,2,203,169,34,42
 Carleton Place Kings,8670,2005-2006,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2005-2006,40,19,2.0,17,0.0,2,166,151,15,42
 Char-Lan Rebels,6851,2005-2006,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2005-2006,45,16,2.0,24,0.0,3,203,261,-58,37
 Clarence Beavers,24541,2005-2006,clarence-beavers,CCHL2,https://www.eliteprospects.com/team/24541/clarence-beavers/2005-2006,39,31,1.0,7,0.0,0,219,127,92,63
 Gananoque Islanders,6240,2005-2006,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2005-2006,42,14,2.0,23,0.0,3,206,217,-11,33
 Gatineau Mustangs,10381,2005-2006,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2005-2006,40,11,1.0,25,0.0,3,162,225,-63,26
 Kemptville 73's,4349,2005-2006,kemptville-73-s,CCHL2,https://www.eliteprospects.com/team/4349/kemptville-73-s/2005-2006,45,31,0.0,12,0.0,2,293,196,97,64
 Metcalfe Jets,6310,2005-2006,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2005-2006,40,20,2.0,16,0.0,2,185,184,1,44
 Morrisburg Lions,9176,2005-2006,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2005-2006,45,25,2.0,17,0.0,1,265,220,45,53
 Ottawa West Golden Knights,6850,2005-2006,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2005-2006,39,27,2.0,9,0.0,1,187,124,63,57
 Perth Blue Wings,6846,2005-2006,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2005-2006,39,25,3.0,8,0.0,3,174,115,59,56
 Renfrew Timberwolves,6434,2005-2006,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2005-2006,40,20,0.0,18,0.0,2,148,157,-9,42
 Shawville Pontiacs,6344,2005-2006,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2005-2006,39,17,1.0,21,0.0,0,130,158,-28,35
 South Grenville Rangers,24543,2005-2006,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2005-2006,42,32,1.0,8,0.0,1,264,132,132,66
 South Ottawa Canadians,7155,2005-2006,south-ottawa-canadians,CCHL2,https://www.eliteprospects.com/team/7155/south-ottawa-canadians/2005-2006,40,18,0.0,17,0.0,5,176,176,0,41
 Stittsville Royals,6849,2005-2006,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2005-2006,40,16,4.0,18,0.0,2,160,174,-14,38
 Westport Rideaus,9701,2005-2006,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2005-2006,42,35,1.0,5,0.0,1,323,154,169,72
 Winchester Hawks,5867,2005-2006,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2005-2006,45,22,4.0,18,0.0,1,182,196,-14,49
 Akwesasne Wolves,5684,2006-2007,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2006-2007,40,9,2.0,27,0.0,2,154,257,-103,22
 Alexandria Glens,6623,2006-2007,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2006-2007,40,30,3.0,5,0.0,2,263,145,118,65
 Arnprior Packers,6848,2006-2007,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2006-2007,40,8,3.0,28,0.0,1,142,238,-96,20
 Athens Aeros,3518,2006-2007,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2006-2007,44,13,5.0,26,0.0,0,169,229,-60,31
 Brockville Tikis,5683,2006-2007,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2006-2007,44,24,5.0,13,0.0,2,218,159,59,55
 Carleton Place Kings,8670,2006-2007,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2006-2007,40,13,5.0,20,0.0,2,159,204,-45,33
 Char-Lan Rebels,6851,2006-2007,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2006-2007,40,8,2.0,30,0.0,0,133,236,-103,18
 Clarence Castors,24541,2006-2007,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2006-2007,40,27,1.0,12,0.0,0,210,139,71,55
 Gananoque Islanders,6240,2006-2007,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2006-2007,44,24,2.0,16,0.0,2,205,171,34,52
 Gatineau Mustangs,10381,2006-2007,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2006-2007,40,25,0.0,14,0.0,1,229,164,65,51
 Kemptville 73's,4349,2006-2007,kemptville-73-s,CCHL2,https://www.eliteprospects.com/team/4349/kemptville-73-s/2006-2007,40,21,2.0,15,0.0,2,217,179,38,46
 Metcalfe Jets,6310,2006-2007,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2006-2007,40,10,1.0,28,0.0,1,140,232,-92,22
 Morrisburg Lions,9176,2006-2007,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2006-2007,40,24,1.0,14,0.0,1,257,208,49,50
 Ottawa West Golden Knights,6850,2006-2007,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2006-2007,40,24,1.0,15,0.0,0,168,141,27,49
 Perth Blue Wings,6846,2006-2007,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2006-2007,40,18,2.0,17,0.0,3,156,165,-9,41
 Renfrew Timberwolves,6434,2006-2007,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2006-2007,40,18,3.0,18,0.0,1,175,158,17,40
 Shawville Pontiacs,6344,2006-2007,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2006-2007,40,23,1.0,13,0.0,3,204,172,32,50
 South Grenville Rangers,24543,2006-2007,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2006-2007,44,8,2.0,33,0.0,1,148,287,-139,19
 South Ottawa Canadians,7155,2006-2007,south-ottawa-canadians,CCHL2,https://www.eliteprospects.com/team/7155/south-ottawa-canadians/2006-2007,40,24,1.0,14,0.0,1,216,155,61,50
 Stittsville Royals,6849,2006-2007,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2006-2007,40,23,1.0,13,0.0,3,204,172,32,50
 Westport Rideaus,9701,2006-2007,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2006-2007,44,24,5.0,14,0.0,1,211,167,44,54
 Winchester Hawks,5867,2006-2007,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2006-2007,40,30,1.0,9,0.0,0,225,162,63,61
 Akwesasne Wolves,5684,2007-2008,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2007-2008,41,5,3.0,32,0.0,1,114,202,-88,14
 Alexandria Glens,6623,2007-2008,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2007-2008,42,31,0.0,10,0.0,1,246,139,107,63
 Arnprior Packers,6848,2007-2008,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2007-2008,40,7,3.0,30,0.0,0,123,232,-109,17
 Athens Aeros,3518,2007-2008,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2007-2008,42,27,4.0,10,0.0,1,193,144,49,59
 Brockville Tikis,5683,2007-2008,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2007-2008,42,14,5.0,21,0.0,2,167,198,-31,35
 Carleton Place Kings,8670,2007-2008,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2007-2008,39,25,3.0,10,0.0,1,176,135,41,54
 Char-Lan Rebels,6851,2007-2008,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2007-2008,42,15,4.0,20,0.0,3,172,211,-39,37
 Clarence Castors,24541,2007-2008,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2007-2008,40,27,0.0,10,0.0,3,195,139,56,57
 Gananoque Islanders,6240,2007-2008,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2007-2008,42,21,3.0,17,0.0,1,171,166,5,46
 Gatineau Mustangs,10381,2007-2008,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2007-2008,39,28,1.0,8,0.0,2,238,121,117,59
 Metcalfe Jets,6310,2007-2008,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2007-2008,40,3,4.0,32,0.0,1,124,251,-127,11
 Morrisburg Lions,9176,2007-2008,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2007-2008,42,16,1.0,23,0.0,2,196,249,-53,35
 Ottawa Jr. Canadians,7155,2007-2008,ottawa-jr.-canadians,CCHL2,https://www.eliteprospects.com/team/7155/ottawa-jr.-canadians/2007-2008,39,26,2.0,10,0.0,1,199,137,62,55
 Ottawa West Golden Knights,6850,2007-2008,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2007-2008,40,20,2.0,16,0.0,2,156,137,19,44
 Perth Blue Wings,6846,2007-2008,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2007-2008,40,21,3.0,16,0.0,0,140,144,-4,45
 Renfrew Timberwolves,6434,2007-2008,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2007-2008,40,11,4.0,25,0.0,0,147,202,-55,26
 Shawville Pontiacs,6344,2007-2008,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2007-2008,40,18,2.0,18,0.0,2,176,186,-10,40
 South Grenville Rangers,24543,2007-2008,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2007-2008,42,20,1.0,21,0.0,0,154,184,-30,41
 Stittsville Royals,6849,2007-2008,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2007-2008,40,18,2.0,18,0.0,2,176,186,-10,40
 Westport Rideaus,9701,2007-2008,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2007-2008,42,23,1.0,17,0.0,1,184,161,23,48
 Winchester Hawks,5867,2007-2008,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2007-2008,41,25,2.0,13,0.0,1,187,130,57,53
 Alexandria Glens,6623,2008-2009,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2008-2009,42,31,1.0,9,0.0,1,272,148,124,64
 Arnprior Packers,6848,2008-2009,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2008-2009,40,17,2.0,21,0.0,0,178,209,-31,36
 Athens Aeros,3518,2008-2009,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2008-2009,42,26,4.0,9,0.0,3,220,170,50,59
 Brockville Tikis,5683,2008-2009,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2008-2009,42,18,2.0,20,0.0,2,178,165,13,40
 Carleton Place Kings,8670,2008-2009,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2008-2009,40,28,4.0,6,0.0,2,201,116,85,62
 Casselman Vikings,6354,2008-2009,casselman-vikings,CCHL2,https://www.eliteprospects.com/team/6354/casselman-vikings/2008-2009,42,30,2.0,9,0.0,1,270,180,90,63
 Char-Lan Rebels,6851,2008-2009,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2008-2009,42,25,1.0,15,0.0,1,207,161,46,52
 Clarence Castors,24541,2008-2009,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2008-2009,40,22,3.0,15,0.0,0,184,158,26,47
 Gananoque Islanders,6240,2008-2009,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2008-2009,42,17,3.0,20,0.0,2,169,185,-16,39
 Gatineau Mustangs,10381,2008-2009,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2008-2009,40,15,3.0,20,0.0,2,162,201,-39,35
 Metcalfe Jets,6310,2008-2009,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2008-2009,40,7,1.0,32,0.0,0,132,250,-118,15
 Morrisburg Lions,9176,2008-2009,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2008-2009,42,2,0.0,39,0.0,1,125,357,-232,5
 Ottawa Jr. Canadians,7155,2008-2009,ottawa-jr.-canadians,CCHL2,https://www.eliteprospects.com/team/7155/ottawa-jr.-canadians/2008-2009,39,24,4.0,10,0.0,1,202,133,69,53
 Ottawa West Golden Knights,6850,2008-2009,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2008-2009,40,29,3.0,7,0.0,1,212,105,107,62
 Perth Blue Wings,6846,2008-2009,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2008-2009,39,11,3.0,20,0.0,5,125,149,-24,30
 Renfrew Timberwolves,6434,2008-2009,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2008-2009,40,10,6.0,23,0.0,1,141,220,-79,27
 Shawville Pontiacs,6344,2008-2009,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2008-2009,40,13,2.0,20,0.0,5,187,221,-34,33
 South Grenville Rangers,24543,2008-2009,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2008-2009,42,11,1.0,27,0.0,3,114,201,-87,26
 Stittsville Royals,6849,2008-2009,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2008-2009,40,26,3.0,11,0.0,0,198,160,38,55
 Westport Rideaus,9701,2008-2009,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2008-2009,42,20,1.0,17,0.0,4,218,212,6,45
 Winchester Hawks,5867,2008-2009,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2008-2009,42,21,3.0,16,0.0,2,181,175,6,47
 Akwesasne Wolves,5684,2009-2010,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2009-2010,40,4,2.0,32,0.0,2,140,284,-144,12
 Alexandria Glens,6623,2009-2010,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2009-2010,40,23,4.0,12,0.0,1,213,148,65,51
 Almonte Thunder,6289,2009-2010,almonte-thunder,CCHL2,https://www.eliteprospects.com/team/6289/almonte-thunder/2009-2010,45,16,2.0,27,0.0,0,136,230,-94,34
 Arnprior Packers,6848,2009-2010,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2009-2010,45,21,5.0,17,0.0,2,175,171,4,49
 Athens Aeros,3518,2009-2010,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2009-2010,44,28,4.0,11,0.0,1,235,160,75,61
 Brockville Tikis,5683,2009-2010,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2009-2010,44,23,2.0,17,0.0,2,198,175,23,50
 Casselman Vikings,6354,2009-2010,casselman-vikings,CCHL2,https://www.eliteprospects.com/team/6354/casselman-vikings/2009-2010,40,29,2.0,7,0.0,2,254,107,147,62
 Char-Lan Rebels,6851,2009-2010,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2009-2010,40,19,2.0,17,0.0,2,160,186,-26,42
 Clarence Castors,24541,2009-2010,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2009-2010,44,25,2.0,15,0.0,2,224,185,39,54
 Ganonoque Islanders,6240,2009-2010,ganonoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/ganonoque-islanders/2009-2010,44,14,3.0,23,0.0,4,166,204,-38,35
 Gatineau Mustangs,10381,2009-2010,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2009-2010,44,27,2.0,14,0.0,1,217,155,62,57
 Metcalfe Jets,6310,2009-2010,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2009-2010,44,13,4.0,22,0.0,5,154,213,-59,35
 Morrisburg Lions,9176,2009-2010,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2009-2010,40,17,2.0,21,0.0,0,192,253,-61,36
 Ottawa Jr. Canadians,7155,2009-2010,ottawa-jr.-canadians,CCHL2,https://www.eliteprospects.com/team/7155/ottawa-jr.-canadians/2009-2010,44,29,0.0,14,0.0,1,206,169,37,59
 Ottawa West Golden Knights,6850,2009-2010,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2009-2010,44,32,3.0,9,0.0,0,207,117,90,67
 Perth Blue Wings,6846,2009-2010,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2009-2010,45,23,6.0,13,0.0,3,191,143,48,55
 Renfrew Timberwolves,6434,2009-2010,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2009-2010,45,21,2.0,20,0.0,2,177,170,7,46
 Shawville Pontiacs,6344,2009-2010,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2009-2010,45,11,4.0,30,0.0,0,134,175,-41,26
 South Grenville Rangers,24543,2009-2010,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2009-2010,44,10,4.0,30,0.0,0,151,230,-79,24
 Stittsville Royals,6849,2009-2010,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2009-2010,45,11,4.0,30,0.0,0,134,175,-41,26
 Westport Rideaus,9701,2009-2010,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2009-2010,44,29,5.0,10,0.0,0,241,172,69,63
 Winchester Hawks,5867,2009-2010,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2009-2010,40,18,2.0,19,0.0,1,156,187,-31,39
 Akwesasne Wolves,5684,2010-2011,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2010-2011,42,12,1.0,24,0.0,5,164,218,-54,30
 Alexandria Glens,6623,2010-2011,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2010-2011,42,29,0.0,9,0.0,4,195,142,53,62
 Almonte Thunder,6289,2010-2011,almonte-thunder,CCHL2,https://www.eliteprospects.com/team/6289/almonte-thunder/2010-2011,42,21,2.0,18,0.0,1,165,163,2,45
 Arnprior Packers,6848,2010-2011,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2010-2011,42,21,3.0,18,0.0,0,176,158,18,45
 Athens Aeros,3518,2010-2011,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2010-2011,46,38,0.0,7,0.0,1,279,138,141,77
 Brockville Tikis,5683,2010-2011,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2010-2011,46,15,0.0,28,0.0,3,158,244,-86,33
 Casselman Vikings,6354,2010-2011,casselman-vikings,CCHL2,https://www.eliteprospects.com/team/6354/casselman-vikings/2010-2011,42,35,1.0,5,0.0,1,256,117,139,72
 Char-Lan Rebels,6851,2010-2011,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2010-2011,42,8,0.0,32,0.0,2,132,269,-137,18
 Clarence Castors,24541,2010-2011,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2010-2011,42,30,3.0,8,0.0,1,200,118,82,64
 Gananoque Islanders,6240,2010-2011,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2010-2011,46,15,0.0,30,0.0,1,167,254,-87,31
 Gatineau Mustangs,10381,2010-2011,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2010-2011,42,14,1.0,26,0.0,1,138,154,-16,30
 Metcalfe Jets,6310,2010-2011,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2010-2011,42,15,3.0,23,0.0,1,124,167,-43,34
 Morrisburg Lions,9176,2010-2011,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2010-2011,42,14,0.0,25,0.0,3,168,230,-62,31
 Ottawa Jr. Canadians,7155,2010-2011,ottawa-jr.-canadians,CCHL2,https://www.eliteprospects.com/team/7155/ottawa-jr.-canadians/2010-2011,42,25,2.0,14,0.0,1,150,125,25,53
 Ottawa West Golden Knights,6850,2010-2011,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2010-2011,42,27,0.0,14,0.0,1,198,153,45,55
 Perth Blue Wings,6846,2010-2011,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2010-2011,42,30,1.0,10,0.0,1,199,135,64,62
 Renfrew Timberwolves,6434,2010-2011,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2010-2011,42,20,4.0,18,0.0,0,170,157,13,44
 Shawville Pontiacs,6344,2010-2011,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2010-2011,42,12,1.0,27,0.0,2,133,190,-57,27
 South Grenville Rangers,24543,2010-2011,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2010-2011,46,13,0.0,31,0.0,2,156,244,-88,28
 Stittsville Royals,6849,2010-2011,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2010-2011,42,12,1.0,27,0.0,2,133,190,-57,27
 Westport Rideaus,9701,2010-2011,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2010-2011,46,28,0.0,18,0.0,0,254,183,71,56
 Winchester Hawks,5867,2010-2011,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2010-2011,42,29,1.0,11,0.0,1,217,138,79,60
 Akwesasne Wolves,5684,2011-2012,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2011-2012,42,9,1.0,30,0.0,2,123,230,-107,21
 Alexandria Glens,6623,2011-2012,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2011-2012,42,25,0.0,16,0.0,1,194,151,43,51
 Almonte Thunder,6289,2011-2012,almonte-thunder,CCHL2,https://www.eliteprospects.com/team/6289/almonte-thunder/2011-2012,42,15,5.0,19,0.0,3,186,212,-26,38
 Arnprior Packers,6848,2011-2012,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2011-2012,42,31,4.0,7,0.0,0,212,133,79,66
 Athens Aeros,3518,2011-2012,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2011-2012,46,30,0.0,11,0.0,5,277,148,129,65
 Brockville Tikis,5683,2011-2012,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2011-2012,45,1,0.0,43,0.0,1,111,345,-234,3
 Casselman Vikings,6354,2011-2012,casselman-vikings,CCHL2,https://www.eliteprospects.com/team/6354/casselman-vikings/2011-2012,42,32,0.0,8,0.0,2,239,118,121,66
 Char-Lan Rebels,6851,2011-2012,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2011-2012,41,14,0.0,24,0.0,3,144,232,-88,31
 Clarence Castors,24541,2011-2012,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2011-2012,42,27,1.0,13,0.0,1,230,178,52,56
 Gananoque Islanders,6240,2011-2012,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2011-2012,46,27,0.0,17,0.0,2,210,183,27,56
 Gatineau Mustangs,10381,2011-2012,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2011-2012,42,28,6.0,7,0.0,1,217,141,76,63
